id,name,category,equipment,primary_muscle,secondary_muscles,difficulty,movement_pattern,instructions,video_url
518,Legs Variation 513,compound,barbell,legs,core|hamstrings,advanced,push,Perform controlled reps for legs focus.,
519,Shoulders Variation 514,secondary_compound,dumbbell,shoulders,glutes|quads,beginner,pull,Perform controlled reps for shoulders focus.,
520,Arms Variation 515,isolation,cable,arms,hamstrings|calves,intermediate,squat,Perform controlled reps for arms focus.,
521,Core Variation 516,core,machine,core,quads|chest,advanced,hinge,Perform controlled reps for core focus.,
522,Glutes Variation 517,compound,kettlebell,glutes,calves|back,beginner,lunge,Perform controlled reps for glutes focus.,
523,Hamstrings Variation 518,secondary_compound,resistance_band,hamstrings,chest|legs,intermediate,carry,Perform controlled reps for hamstrings focus.,
524,Quads Variation 519,isolation,none,quads,back|shoulders,advanced,rotation,Perform controlled reps for quads focus.,
525,Calves Variation 520,core,barbell,calves,legs|arms,beginner,brace,Perform controlled reps for calves focus.,
526,Chest Variation 521,compound,dumbbell,chest,shoulders|core,intermediate,push,Perform controlled reps for chest focus.,
527,Back Variation 522,secondary_compound,cable,back,arms|glutes,advanced,pull,Perform controlled reps for back focus.,
528,Legs Variation 523,isolation,machine,legs,core|hamstrings,beginner,squat,Perform controlled reps for legs focus.,
529,Shoulders Variation 524,core,kettlebell,shoulders,glutes|quads,intermediate,hinge,Perform controlled reps for shoulders focus.,
530,Arms Variation 525,compound,resistance_band,arms,hamstrings|calves,advanced,lunge,Perform controlled reps for arms focus.,
531,Core Variation 526,secondary_compound,none,core,quads|chest,beginner,carry,Perform controlled reps for core focus.,
532,Glutes Variation 527,isolation,barbell,glutes,calves|back,intermediate,rotation,Perform controlled reps for glutes focus.,
533,Hamstrings Variation 528,core,dumbbell,hamstrings,chest|legs,advanced,brace,Perform controlled reps for hamstrings focus.,
534,Quads Variation 529,compound,cable,quads,back|shoulders,beginner,push,Perform controlled reps for quads focus.,
535,Calves Variation 530,secondary_compound,machine,calves,legs|arms,intermediate,pull,Perform controlled reps for calves focus.,
536,Chest Variation 531,isolation,kettlebell,chest,shoulders|core,advanced,squat,Perform controlled reps for chest focus.,
537,Back Variation 532,core,resistance_band,back,arms|glutes,beginner,hinge,Perform controlled reps for back focus.,
538,Legs Variation 533,compound,none,legs,core|hamstrings,intermediate,lunge,Perform controlled reps for legs focus.,
539,Shoulders Variation 534,secondary_compound,barbell,shoulders,glutes|quads,advanced,carry,Perform controlled reps for shoulders focus.,
540,Arms Variation 535,isolation,dumbbell,arms,hamstrings|calves,beginner,rotation,Perform controlled reps for arms focus.,
541,Core Variation 536,core,cable,core,quads|chest,intermediate,brace,Perform controlled reps for core focus.,
542,Glutes Variation 537,compound,machine,glutes,calves|back,advanced,push,Perform controlled reps for glutes focus.,
543,Hamstrings Variation 538,secondary_compound,kettlebell,hamstrings,chest|legs,beginner,pull,Perform controlled reps for hamstrings focus.,
544,Quads Variation 539,isolation,resistance_band,quads,back|shoulders,intermediate,squat,Perform controlled reps for quads focus.,
545,Calves Variation 540,core,none,calves,legs|arms,advanced,hinge,Perform controlled reps for calves focus.,
546,Chest Variation 541,compound,barbell,chest,shoulders|core,beginner,lunge,Perform controlled reps for chest focus.,
547,Back Variation 542,secondary_compound,dumbbell,back,arms|glutes,intermediate,carry,Perform controlled reps for back focus.,
548,Legs Variation 543,isolation,cable,legs,core|hamstrings,advanced,rotation,Perform controlled reps for legs focus.,
549,Shoulders Variation 544,core,machine,shoulders,glutes|quads,beginner,brace,Perform controlled reps for shoulders focus.,
550,Arms Variation 545,compound,kettlebell,arms,hamstrings|calves,intermediate,push,Perform controlled reps for arms focus.,
